367,"Geddes, Alexander."
368,"Azara, Agustin De "
369,"Azara, Agustin De "
370,"Rivadavia, Bernardino De La Trinidad "
371,"Edwy, King Of England"
372,"Chichester, Frederick Richard "
373,"Chichester, Frederick Richard "
374,"Chichester, Frederick Richard "
375,"Chichester, Frederick Richard "
376,"Chichester, Frederick Richard "
377,"Boscawen, Frances Evelyn."
378,"Bulkley, A. M."
379,"Benton, C. C."
380,"Benson, Eliza."
381,"Burt, Edward "
382,"Bevan, Emma Frances."
383,"Bevan, Emma Frances."
384,"La Baume Le Blanc, Louise FrançOise De "
385,"Blanchard, Edward Litt Leman."
386,"Butterfield, Frederick William Louis "
387,"Budd, G. H."
388,"Burden, Harold Nelson."
389,"Cavendish, Henry Frederick Compton."
390,"Breit, JóZsef."
391,"Bonnefons, J. C."
392,"Bulloch, John Malcolm."
393,"Bottle, Joshua T."
394,"Bullock, James Trower."
395,"Szabó, Lajos "
396,"Benton, Lucy."
397,"Buchon, Jean Alexandre C."
398,"Bouligny, M. E. Parker."
399,"Brocklehurst, Philip Lancaster."
400,"Bunning, S. A."
401,"Boulton, Thomas A."
402,"Beaumont, Thomas Wentworth."
403,"Mulready, William"
404,"Butler, William "
405,"Rice, James"
406,"Baikie, William Balfour."
407,"Burnet, W. C."
408,"Borlase, William Copeland."
409,"Buckstone, John Baldwin."
410,"Macdonnell, Hercules H. G. "
411,"Russell, William Clark."
412,"Lotter, Carl "
413,"Victor, Henry."
414,"Ellis, George Edward "
415,"Montagu, Basil."
416,"Fuerstenhagen, J."
417,"Moffett, Thomas W."
418,"Richardson, William Henry "
419,"Finden, Edward Francis."
420,"Huhn, Eugen."
421,"Feldborg, Andreas Andersen."
422,"Balmer, Hans."
423,"Falkenstein, Thomas Von."
424,"Hellwald, Friedrich Anton Heller Von "
425,"Alsloot, Denis Van."
426,"Hutton, Richard Holt."
427,"Vermilye, Thomas Edward."
428,"Tyszkiewicz, Eustachy "
429,"Bonchamps, Charles Melchior Artus De "
430,"Eastwick, Edward Backhouse"
431,"Millard, James Elwin."
432,"Smoult, William Hunter."
433,"Smoult, William Hunter."
434,"Wright, George Frederick."
